2018-12-12 10:13:09 ProcessNewBlock : ACCEPTED in 15 milliseconds with size=877
2018-12-12 10:13:11 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:16 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:21 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:26 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:32 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:37 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:42 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:47 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:52 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:57 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:14:02 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:14:07 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:14:12 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:14:17 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:14:22 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
